id,cve_ent,turno,tipo,esp_3,esp_6,n_eval_3,n_eval_6
39607,15,MATUTINO,GENERAL,550,500,5,3
39608,15,MATUTINO,GENERAL,514,392,4,4
39609,15,MATUTINO,GENERAL,555,587,30,41
39610,15,MATUTINO,GENERAL,527,527,53,49
39611,15,MATUTINO,GENERAL,653,587,68,79
39612,15,MATUTINO,GENERAL,493,507,75,70
39613,15,MATUTINO,GENERAL,529,402,16,15
39614,15,MATUTINO,GENERAL,554,582,47,46
39615,15,MATUTINO,GENERAL,501,532,30,28
39616,15,MATUTINO,GENERAL,526,529,50,58
39617,15,MATUTINO,GENERAL,694,543,21,21
39618,15,MATUTINO,GENERAL,444,346,1,1
39619,15,MATUTINO,GENERAL,552,630,83,76
39620,15,MATUTINO,GENERAL,491,504,31,25
39621,15,MATUTINO,GENERAL,576,493,1,3
39622,15,MATUTINO,GENERAL,568,470,21,21
39623,15,MATUTINO,GENERAL,525,544,9,4
39624,15,MATUTINO,GENERAL,439,402,9,5
39625,15,MATUTINO,GENERAL,514,436,32,24
39626,15,MATUTINO,GENERAL,481,446,18,24
39627,15,MATUTINO,GENERAL,513,487,97,83
39628,15,MATUTINO,GENERAL,582,622,98,90
39629,15,MATUTINO,GENERAL,541,538,6,19
39630,15,MATUTINO,GENERAL,542,608,21,18
39631,15,VESPERTINO,GENERAL,494,487,64,67
39632,15,MATUTINO,GENERAL,603,587,27,40
39633,15,MATUTINO,GENERAL,529,529,21,21
39634,15,MATUTINO,GENERAL,589,544,16,22
39635,15,VESPERTINO,GENERAL,633,537,13,18
39636,15,VESPERTINO,GENERAL,532,646,16,21
39637,15,MATUTINO,GENERAL,523,472,27,31
39638,15,MATUTINO,GENERAL,499,479,77,70
39639,15,MATUTINO,GENERAL,685,617,22,16
39640,15,MATUTINO,GENERAL,539,526,11,13
39641,15,MATUTINO,GENERAL,557,596,55,70
39642,15,VESPERTINO,GENERAL,539,516,15,20
39643,15,VESPERTINO,GENERAL,513,514,54,52
39644,15,VESPERTINO,GENERAL,567,534,60,48
39645,15,VESPERTINO,GENERAL,502,510,39,38
39646,15,VESPERTINO,GENERAL,442,471,13,20
39647,15,MATUTINO,GENERAL,536,471,79,106
39648,15,MATUTINO,GENERAL,501,592,24,27
39649,15,MATUTINO,GENERAL,448,489,6,6
39650,15,MATUTINO,GENERAL,528,511,15,10
39651,15,MATUTINO,GENERAL,637,456,32,30
39652,15,MATUTINO,GENERAL,601,472,38,42
39653,15,MATUTINO,GENERAL,527,469,22,30
39654,15,MATUTINO,GENERAL,506,541,32,21
39655,15,MATUTINO,GENERAL,588,562,12,16
39656,15,MATUTINO,GENERAL,498,484,53,61
39657,15,MATUTINO,GENERAL,548,499,22,24
39658,15,MATUTINO,GENERAL,546,613,11,16
39659,15,MATUTINO,GENERAL,581,556,10,20
39660,15,MATUTINO,GENERAL,647,605,53,55
39661,15,VESPERTINO,GENERAL,571,542,11,20
39662,15,MATUTINO,GENERAL,639,579,30,51
39663,15,VESPERTINO,GENERAL,516,461,24,21
39664,15,MATUTINO,GENERAL,541,527,64,70
39665,15,MATUTINO,GENERAL,528,489,49,38
39666,15,VESPERTINO,GENERAL,675,603,43,41
39667,15,MATUTINO,GENERAL,525,533,71,85
39668,15,MATUTINO,GENERAL,547,528,75,97
39669,15,MATUTINO,GENERAL,491,460,12,6
39670,15,MATUTINO,GENERAL,515,552,86,77
39671,15,MATUTINO,GENERAL,604,545,73,65
39672,15,VESPERTINO,GENERAL,668,527,50,81
39673,15,VESPERTINO,GENERAL,558,617,14,21
39674,15,VESPERTINO,GENERAL,549,509,58,58
39675,15,VESPERTINO,GENERAL,488,582,61,86
39676,15,MATUTINO,GENERAL,513,571,69,79
39677,15,MATUTINO,GENERAL,524,560,69,90
39678,15,MATUTINO,GENERAL,617,627,42,73
39679,15,VESPERTINO,GENERAL,571,629,18,13
39680,15,MATUTINO,GENERAL,557,599,7,4
39681,15,MATUTINO,GENERAL,584,506,4,4
39682,15,MATUTINO,GENERAL,506,502,21,18
39683,15,MATUTINO,GENERAL,455,479,8,4
39684,15,MATUTINO,GENERAL,487,470,9,10
39685,15,MATUTINO,GENERAL,524,493,20,20
39686,15,MATUTINO,GENERAL,581,586,20,15
39687,15,MATUTINO,GENERAL,504,497,16,13
39688,15,MATUTINO,GENERAL,516,556,34,46
39689,15,MATUTINO,GENERAL,573,514,28,30
39690,15,MATUTINO,GENERAL,532,431,30,31
39691,15,MATUTINO,GENERAL,448,443,12,6
