estado,clave,tipo,mate_6,num_evaluados_total,marginacion
AGUASCALIENTES,01DPR0091D,GENERAL,483.27,44,MUY BAJO
AGUASCALIENTES,01DPR0092C,GENERAL,501.46,77,MUY BAJO
AGUASCALIENTES,01DPR0093B,GENERAL,604.21,26,MUY BAJO
AGUASCALIENTES,01DPR0094A,GENERAL,551.71,107,MUY BAJO
AGUASCALIENTES,01DPR0095Z,GENERAL,656.02,35,MUY BAJO
AGUASCALIENTES,01DPR0096Z,GENERAL,618.72,35,MUY BAJO
AGUASCALIENTES,01DPR0097Y,GENERAL,588.59,22,MUY BAJO
AGUASCALIENTES,01DPR0098X,GENERAL,494.33,122,MUY BAJO
AGUASCALIENTES,01DPR0099W,GENERAL,431.73,8,MUY BAJO
AGUASCALIENTES,01DPR0100V,GENERAL,553.32,40,MUY BAJO
AGUASCALIENTES,01DPR0101U,GENERAL,512.34,23,ALTO
AGUASCALIENTES,01DPR0102T,GENERAL,616.1,64,MUY BAJO
AGUASCALIENTES,01DPR0103S,GENERAL,482.17,62,MUY BAJO
AGUASCALIENTES,01DPR0104R,GENERAL,531.95,71,MUY BAJO
AGUASCALIENTES,01DPR0105Q,GENERAL,527.09,55,MUY BAJO
AGUASCALIENTES,01DPR0106P,GENERAL,480.11,8,BAJO
AGUASCALIENTES,01DPR0107O,GENERAL,322.21,2,ALTO
AGUASCALIENTES,01DPR0108N,GENERAL,585.02,3,BAJO
AGUASCALIENTES,01DPR0109M,GENERAL,610,28,MUY BAJO
AGUASCALIENTES,01DPR0110B,GENERAL,597.4,6,MEDIO
AGUASCALIENTES,01DPR0112Z,GENERAL,436.89,14,BAJO
AGUASCALIENTES,01DPR0113Z,GENERAL,411.24,16,MUY BAJO
AGUASCALIENTES,01DPR0114Y,GENERAL,366.69,9,BAJO
AGUASCALIENTES,01DPR0115X,GENERAL,601.48,23,MUY BAJO
AGUASCALIENTES,01DPR0116W,GENERAL,555.87,31,MUY BAJO
AGUASCALIENTES,01DPR0117V,GENERAL,533.14,41,MUY BAJO
AGUASCALIENTES,01DPR0118U,GENERAL,509.72,59,MUY BAJO
AGUASCALIENTES,01DPR0119T,GENERAL,472.91,38,MUY BAJO
AGUASCALIENTES,01DPR0120I,GENERAL,559,25,MUY BAJO
AGUASCALIENTES,01DPR0121H,GENERAL,602.03,53,MUY BAJO
AGUASCALIENTES,01DPR0123F,GENERAL,473.97,35,MUY BAJO
AGUASCALIENTES,01DPR0124E,GENERAL,584.41,46,MUY BAJO
AGUASCALIENTES,01DPR0125D,GENERAL,553.04,17,MUY BAJO
AGUASCALIENTES,01DPR0126C,GENERAL,557.55,50,MUY BAJO
AGUASCALIENTES,01DPR0127B,GENERAL,608.69,23,MUY BAJO
AGUASCALIENTES,01DPR0129Z,GENERAL,554.33,31,MUY BAJO
AGUASCALIENTES,01DPR0131O,GENERAL,570.87,64,MUY BAJO
AGUASCALIENTES,01DPR0133M,GENERAL,533.86,13,MUY BAJO
AGUASCALIENTES,01DPR0134L,GENERAL,532.89,27,MUY BAJO
AGUASCALIENTES,01DPR0135K,GENERAL,665.39,21,MUY BAJO
AGUASCALIENTES,01DPR0136J,GENERAL,391.07,9,MEDIO
AGUASCALIENTES,01DPR0137I,GENERAL,488.26,9,BAJO
AGUASCALIENTES,01DPR0138H,GENERAL,545.68,4,BAJO
AGUASCALIENTES,01DPR0139G,GENERAL,647.05,71,MUY BAJO
AGUASCALIENTES,01DPR0140W,GENERAL,443.24,18,MUY BAJO
AGUASCALIENTES,01DPR0141V,GENERAL,578.44,9,MUY BAJO
AGUASCALIENTES,01DPR0142U,GENERAL,620.68,73,MUY BAJO
AGUASCALIENTES,01DPR0143T,GENERAL,479.98,24,MUY BAJO
AGUASCALIENTES,01DPR0144S,GENERAL,578.87,110,MUY BAJO
AGUASCALIENTES,01DPR0145R,GENERAL,617.59,28,MUY BAJO
AGUASCALIENTES,01DPR0146Q,GENERAL,538.5,25,BAJO
AGUASCALIENTES,01DPR0147P,GENERAL,409.62,22,MEDIO
AGUASCALIENTES,01DPR0149N,GENERAL,539.46,74,BAJO
AGUASCALIENTES,01DPR0150C,GENERAL,574.97,70,MUY BAJO
AGUASCALIENTES,01DPR0151B,GENERAL,447.52,21,MEDIO
AGUASCALIENTES,01DPR0152A,GENERAL,473.77,8,MEDIO
AGUASCALIENTES,01DPR0153Z,GENERAL,492.62,10,BAJO
AGUASCALIENTES,01DPR0154Z,GENERAL,560.27,127,MUY BAJO
AGUASCALIENTES,01DPR0155Y,GENERAL,558.09,72,MUY BAJO
AGUASCALIENTES,01DPR0158V,GENERAL,460.02,25,MUY BAJO
AGUASCALIENTES,01DPR0159U,GENERAL,570.08,77,MUY BAJO
AGUASCALIENTES,01DPR0160J,GENERAL,625.57,79,MUY BAJO
AGUASCALIENTES,01DPR0161I,GENERAL,604.99,85,MUY BAJO
AGUASCALIENTES,01DPR0163G,GENERAL,487.08,35,BAJO
AGUASCALIENTES,01DPR0165E,GENERAL,436.01,31,BAJO
AGUASCALIENTES,01DPR0166D,GENERAL,538.37,53,BAJO
AGUASCALIENTES,01DPR0167C,GENERAL,539.23,62,MUY BAJO
AGUASCALIENTES,01DPR0168B,GENERAL,506.7,70,MUY BAJO
AGUASCALIENTES,01DPR0169A,GENERAL,579.54,21,MUY BAJO
AGUASCALIENTES,01DPR0170Q,GENERAL,496.1,21,MUY BAJO
AGUASCALIENTES,01DPR0171P,GENERAL,476.27,1,BAJO
AGUASCALIENTES,01DPR0172O,GENERAL,432.73,34,BAJO
AGUASCALIENTES,01DPR0173N,GENERAL,469.36,26,BAJO
AGUASCALIENTES,01DPR0174M,GENERAL,387.53,11,BAJO
AGUASCALIENTES,01DPR0175L,GENERAL,714.83,11,MEDIO
AGUASCALIENTES,01DPR0176K,GENERAL,498.23,20,BAJO
AGUASCALIENTES,01DPR0177J,GENERAL,463.83,55,BAJO
AGUASCALIENTES,01DPR0178I,GENERAL,468.89,44,BAJO
AGUASCALIENTES,01DPR0179H,GENERAL,464.64,31,MUY BAJO
AGUASCALIENTES,01DPR0180X,GENERAL,482.46,72,MUY BAJO
AGUASCALIENTES,01DPR0181W,GENERAL,441.17,11,BAJO
AGUASCALIENTES,01DPR0182V,GENERAL,518.37,12,BAJO
AGUASCALIENTES,01DPR0183U,GENERAL,540.82,31,MUY BAJO
AGUASCALIENTES,01DPR0184T,GENERAL,568.27,63,MUY BAJO
AGUASCALIENTES,01DPR0185S,GENERAL,514.65,68,MUY BAJO
AGUASCALIENTES,01DPR0186R,GENERAL,506.12,34,BAJO
AGUASCALIENTES,01DPR0187Q,GENERAL,503.35,27,BAJO
AGUASCALIENTES,01DPR0188P,GENERAL,387.74,12,MUY BAJO
AGUASCALIENTES,01DPR0189O,GENERAL,679.22,54,MUY BAJO
AGUASCALIENTES,01DPR0190D,GENERAL,499.24,20,MEDIO
AGUASCALIENTES,01DPR0191C,GENERAL,489,64,BAJO
AGUASCALIENTES,01DPR0192B,GENERAL,543.22,68,MUY BAJO
